Kingdom,Phylum,Class,Order,Family,Genus,Species,Infrarank,Subpopulation,Taxon ID,Friendly Name,Taxonomic Authority 
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,BATHYERGIDAE,Heliophobius,argenteocinereus,N/A,N/A,9828,"Heliophobius argenteocinereus","Peters, 1846"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Thomomys,monticola,N/A,N/A,42596,"Thomomys monticola","J.A. Allen, 1893"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Thomomys,talpoides,N/A,N/A,42597,"Thomomys talpoides","(Richardson, 1828)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,gambianus,N/A,N/A,9830,"Heliosciurus gambianus","(Ogilby, 1835)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Thomomys,townsendii,N/A,N/A,42598,"Thomomys townsendii","(Bachman, 1839)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,mutabilis,N/A,N/A,9831,"Heliosciurus mutabilis","(Peters, 1852)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,californicus,N/A,N/A,42599,"Dipodomys californicus","Merriam, 1890"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,punctatus,N/A,N/A,9832,"Heliosciurus punctatus","(Temminck, 1853)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,heermanni,N/A,N/A,42600,"Dipodomys heermanni","Le Conte, 1853"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,rufobrachium,N/A,N/A,9833,"Heliosciurus rufobrachium","(Waterhouse, 1842)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Musseromys,beneficus,N/A,N/A,112041990,"Musseromys beneficus","Heaney, Balete, Rickart, Veluz &amp; Jansa, 2014"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,ruwenzorii,N/A,N/A,9834,"Heliosciurus ruwenzorii","(Schwann, 1904)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Heliosciurus,undulatus,N/A,N/A,9835,"Heliosciurus undulatus","(True, 1892)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,microps,N/A,N/A,42603,"Dipodomys microps","(Merriam, 1904)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,panamintinus,N/A,N/A,42604,"Dipodomys panamintinus","(Merriam, 1894)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,venustus,N/A,N/A,42605,"Dipodomys venustus","(Merriam, 1904)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Microdipodops,megacephalus,N/A,N/A,42606,"Microdipodops megacephalus","Merriam, 1891"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Microdipodops,pallidus,N/A,N/A,42607,"Microdipodops pallidus","Merriam, 1901"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,fasciatus,N/A,N/A,42608,"Perognathus fasciatus","Wied-Neuwied, 1839"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,inornatus,N/A,N/A,42609,"Perognathus inornatus","Merriam, 1889"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,parvus,N/A,N/A,42610,"Perognathus parvus","(Peale, 1848)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,parvus,xanthanotus,42611,"Perognathus parvus ssp. xanthanotus","Grinnell, 1912"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Napaeozapus,insignis,N/A,N/A,42612,"Napaeozapus insignis","(Miller, 1891)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Zapus,hudsonius,N/A,N/A,42613,"Zapus hudsonius","(Zimmermann, 1780)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,BATHYERGIDAE,Cryptomys,natalensis,N/A,N/A,111935513,"Cryptomys natalensis","Roberts, 1913"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Zapus,princeps,N/A,N/A,42614,"Zapus princeps","Allen, 1893"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arborimus,longicaudus,N/A,N/A,42615,"Arborimus longicaudus","(True, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Clethrionomys,californicus,N/A,N/A,42616,"Clethrionomys californicus","(Merriam, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Clethrionomys,gapperi,N/A,N/A,42617,"Clethrionomys gapperi","(Vigors, 1830)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,groenlandicus,N/A,N/A,42618,"Dicrostonyx groenlandicus","(Traill, 1823)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,hudsonius,N/A,N/A,42619,"Dicrostonyx hudsonius","(Pallas, 1778)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Musseromys,inopinatus,N/A,N/A,112042008,"Musseromys inopinatus","Heaney, Balete, Rickart, Veluz &amp; Jansa, 2014"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,nelsoni,N/A,N/A,42620,"Dicrostonyx nelsoni","Merriam, 1900"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,kilangmiutak,N/A,N/A,42621,"Dicrostonyx kilangmiutak","Anderson &amp; Rand, 1945"
